mesh,label,author_count
http://id.nlm.nih.gov/mesh/D007668,Kidney,303934
http://id.nlm.nih.gov/mesh/D006801,Humans,204573
http://id.nlm.nih.gov/mesh/D000818,Animals,170044
http://id.nlm.nih.gov/mesh/D008297,Male,169953
http://id.nlm.nih.gov/mesh/D005260,Female,129631
http://id.nlm.nih.gov/mesh/D051379,Mice,75983
http://id.nlm.nih.gov/mesh/D008875,"Middle Aged",69691
http://id.nlm.nih.gov/mesh/D000328,Adult,61591
http://id.nlm.nih.gov/mesh/D051381,Rats,59940
http://id.nlm.nih.gov/mesh/D000368,Aged,52633
http://id.nlm.nih.gov/mesh/D008099,Liver,47128
http://id.nlm.nih.gov/mesh/D005919,"Glomerular Filtration Rate",40748
http://id.nlm.nih.gov/mesh/D012189,"Retrospective Studies",38746
http://id.nlm.nih.gov/mesh/D007674,"Kidney Diseases",34863
http://id.nlm.nih.gov/mesh/D004195,"Disease Models, Animal",32622
http://id.nlm.nih.gov/mesh/D015415,Biomarkers,31317
http://id.nlm.nih.gov/mesh/D003404,Creatinine,29585
http://id.nlm.nih.gov/mesh/D008810,"Mice, Inbred C57BL",29550
http://id.nlm.nih.gov/mesh/D016896,"Treatment Outcome",29510
http://id.nlm.nih.gov/mesh/D051436,"Renal Insufficiency, Chronic",28650
http://id.nlm.nih.gov/mesh/D058186,"Acute Kidney Injury",27358
http://id.nlm.nih.gov/mesh/D013997,"Time Factors",26172
http://id.nlm.nih.gov/mesh/D012307,"Risk Factors",25848
http://id.nlm.nih.gov/mesh/D018384,"Oxidative Stress",25524
http://id.nlm.nih.gov/mesh/D002460,"Cell Line",25036
http://id.nlm.nih.gov/mesh/D017207,"Rats, Sprague-Dawley",24739
http://id.nlm.nih.gov/mesh/D016030,"Kidney Transplantation",23965
http://id.nlm.nih.gov/mesh/D015398,"Signal Transduction",23895
http://id.nlm.nih.gov/mesh/D017208,"Rats, Wistar",22539
http://id.nlm.nih.gov/mesh/D000293,Adolescent,20813
http://id.nlm.nih.gov/mesh/D005355,Fibrosis,20661
http://id.nlm.nih.gov/mesh/D002648,Child,19944
http://id.nlm.nih.gov/mesh/D055815,"Young Adult",19944
http://id.nlm.nih.gov/mesh/D001794,"Blood Pressure",19899
http://id.nlm.nih.gov/mesh/D011446,"Prospective Studies",19290
http://id.nlm.nih.gov/mesh/D006973,Hypertension,18534
http://id.nlm.nih.gov/mesh/D000369,"Aged, 80 and over",18097
http://id.nlm.nih.gov/mesh/D003928,"Diabetic Nephropathies",17999
http://id.nlm.nih.gov/mesh/D018345,"Mice, Knockout",17935
http://id.nlm.nih.gov/mesh/D017209,Apoptosis,17883
http://id.nlm.nih.gov/mesh/D002478,"Cells, Cultured",17094
http://id.nlm.nih.gov/mesh/D012333,"RNA, Messenger",17034
http://id.nlm.nih.gov/mesh/D007680,"Kidney Neoplasms",16272
http://id.nlm.nih.gov/mesh/D001706,Biopsy,15968
http://id.nlm.nih.gov/mesh/D007249,Inflammation,15347
http://id.nlm.nih.gov/mesh/D018450,"Disease Progression",15289
http://id.nlm.nih.gov/mesh/D005786,"Gene Expression Regulation",15273
http://id.nlm.nih.gov/mesh/D011379,Prognosis,14920
http://id.nlm.nih.gov/mesh/D009392,Nephrectomy,14348
http://id.nlm.nih.gov/mesh/D007677,"Kidney Function Tests",14320
http://id.nlm.nih.gov/mesh/D015427,"Reperfusion Injury",14110
