mesh,label,publication_count
http://id.nlm.nih.gov/mesh/D007668,Kidney,70431
http://id.nlm.nih.gov/mesh/D006801,Humans,42983
http://id.nlm.nih.gov/mesh/D000818,Animals,38629
http://id.nlm.nih.gov/mesh/D008297,Male,33591
http://id.nlm.nih.gov/mesh/D005260,Female,23335
http://id.nlm.nih.gov/mesh/D051379,Mice,13860
http://id.nlm.nih.gov/mesh/D051381,Rats,12589
http://id.nlm.nih.gov/mesh/D008875,Middle Aged,11510
http://id.nlm.nih.gov/mesh/D000328,Adult,10035
http://id.nlm.nih.gov/mesh/D008099,Liver,8442
http://id.nlm.nih.gov/mesh/D000368,Aged,8272
http://id.nlm.nih.gov/mesh/D005919,Glomerular Filtration Rate,6626
http://id.nlm.nih.gov/mesh/D007674,Kidney Diseases,6156
http://id.nlm.nih.gov/mesh/D012189,Retrospective Studies,6095
http://id.nlm.nih.gov/mesh/D004195,"Disease Models, Animal",5354
http://id.nlm.nih.gov/mesh/D015415,Biomarkers,4957
http://id.nlm.nih.gov/mesh/D018384,Oxidative Stress,4906
http://id.nlm.nih.gov/mesh/D017207,"Rats, Sprague-Dawley",4888
http://id.nlm.nih.gov/mesh/D058186,Acute Kidney Injury,4828
http://id.nlm.nih.gov/mesh/D008810,"Mice, Inbred C57BL",4721
http://id.nlm.nih.gov/mesh/D003404,Creatinine,4652
http://id.nlm.nih.gov/mesh/D051436,"Renal Insufficiency, Chronic",4647
http://id.nlm.nih.gov/mesh/D016896,Treatment Outcome,4574
http://id.nlm.nih.gov/mesh/D017208,"Rats, Wistar",4571
http://id.nlm.nih.gov/mesh/D016030,Kidney Transplantation,4279
http://id.nlm.nih.gov/mesh/D002460,Cell Line,4277
http://id.nlm.nih.gov/mesh/D015398,Signal Transduction,4218
http://id.nlm.nih.gov/mesh/D013997,Time Factors,4024
http://id.nlm.nih.gov/mesh/D012307,Risk Factors,3920
http://id.nlm.nih.gov/mesh/D001794,Blood Pressure,3912
http://id.nlm.nih.gov/mesh/D006973,Hypertension,3590
http://id.nlm.nih.gov/mesh/D005355,Fibrosis,3524
http://id.nlm.nih.gov/mesh/D002648,Child,3422
http://id.nlm.nih.gov/mesh/D000293,Adolescent,3184
http://id.nlm.nih.gov/mesh/D003928,Diabetic Nephropathies,3062
http://id.nlm.nih.gov/mesh/D017209,Apoptosis,3029
http://id.nlm.nih.gov/mesh/D055815,Young Adult,2888
http://id.nlm.nih.gov/mesh/D007680,Kidney Neoplasms,2823
http://id.nlm.nih.gov/mesh/D012333,"RNA, Messenger",2758
http://id.nlm.nih.gov/mesh/D018345,"Mice, Knockout",2658
http://id.nlm.nih.gov/mesh/D000975,Antioxidants,2658
http://id.nlm.nih.gov/mesh/D002478,"Cells, Cultured",2590
http://id.nlm.nih.gov/mesh/D001706,Biopsy,2576
http://id.nlm.nih.gov/mesh/D000369,"Aged, 80 and over",2522
http://id.nlm.nih.gov/mesh/D011446,Prospective Studies,2513
http://id.nlm.nih.gov/mesh/D009392,Nephrectomy,2475
http://id.nlm.nih.gov/mesh/D015427,Reperfusion Injury,2457
http://id.nlm.nih.gov/mesh/D005786,Gene Expression Regulation,2427
http://id.nlm.nih.gov/mesh/D007249,Inflammation,2382
http://id.nlm.nih.gov/mesh/D018450,Disease Progression,2376
http://id.nlm.nih.gov/mesh/D011379,Prognosis,2145
http://id.nlm.nih.gov/mesh/D007677,Kidney Function Tests,2128
http://id.nlm.nih.gov/mesh/D007676,"Kidney Failure, Chronic",2118
http://id.nlm.nih.gov/mesh/D004305,"Dose-Response Relationship, Drug",2016
http://id.nlm.nih.gov/mesh/D008168,Lung,1973
http://id.nlm.nih.gov/mesh/D007150,Immunohistochemistry,1926
http://id.nlm.nih.gov/mesh/D004847,Epithelial Cells,1905
http://id.nlm.nih.gov/mesh/D002675,"Child, Preschool",1864
http://id.nlm.nih.gov/mesh/D003921,"Diabetes Mellitus, Experimental",1849
http://id.nlm.nih.gov/mesh/D003924,"Diabetes Mellitus, Type 2",1804
http://id.nlm.nih.gov/mesh/D001921,Brain,1800
http://id.nlm.nih.gov/mesh/D011507,Proteinuria,1773
http://id.nlm.nih.gov/mesh/D005500,Follow-Up Studies,1747
http://id.nlm.nih.gov/mesh/D011247,Pregnancy,1724
http://id.nlm.nih.gov/mesh/D013552,Swine,1692
http://id.nlm.nih.gov/mesh/D014057,"Tomography, X-Ray Computed",1691
http://id.nlm.nih.gov/mesh/D013154,Spleen,1663
http://id.nlm.nih.gov/mesh/D007223,Infant,1580
http://id.nlm.nih.gov/mesh/D002292,"Carcinoma, Renal Cell",1532
http://id.nlm.nih.gov/mesh/D001835,Body Weight,1505
http://id.nlm.nih.gov/mesh/D009206,Myocardium,1460
http://id.nlm.nih.gov/mesh/D009929,Organ Size,1440
http://id.nlm.nih.gov/mesh/D016207,Cytokines,1429
http://id.nlm.nih.gov/mesh/D008279,Magnetic Resonance Imaging,1407
http://id.nlm.nih.gov/mesh/D009154,Mutation,1391
http://id.nlm.nih.gov/mesh/D051437,Renal Insufficiency,1374
http://id.nlm.nih.gov/mesh/D015870,Gene Expression,1371
http://id.nlm.nih.gov/mesh/D017382,Reactive Oxygen Species,1371
http://id.nlm.nih.gov/mesh/D014463,Ultrasonography,1350
http://id.nlm.nih.gov/mesh/D014018,Tissue Distribution,1334
http://id.nlm.nih.gov/mesh/D001786,Blood Glucose,1326
http://id.nlm.nih.gov/mesh/D049109,Cell Proliferation,1307
http://id.nlm.nih.gov/mesh/D008954,"Models, Biological",1296
http://id.nlm.nih.gov/mesh/D004285,Dogs,1284
http://id.nlm.nih.gov/mesh/D015153,"Blotting, Western",1268
http://id.nlm.nih.gov/mesh/D006084,Graft Rejection,1267
