subject,predicate,object,pub_count
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007674,23376
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D058186,10827
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007680,10025
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007676,7004
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D051436,6355
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D003928,5719
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005921,5247
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D005921,4991
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D006977,3947
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007669,3792
http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D007674,3614
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D002292,3364
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D051437,2890
http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/graph/hra-lit#COOCCURS_WITH_DISEASE,http://id.nlm.nih.gov/mesh/D006869,2780
