graph,class,predicate
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#AllowedDescriptorQualifierPair,http://id.nlm.nih.gov/mesh/vocab#active
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#AllowedDescriptorQualifierPair,http://id.nlm.nih.gov/mesh/vocab#hasDescriptor
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#AllowedDescriptorQualifierPair,http://id.nlm.nih.gov/mesh/vocab#hasQualifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#AllowedDescriptorQualifierPair,http://id.nlm.nih.gov/mesh/vocab#lastActiveYear
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#AllowedDescriptorQualifierPair,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#AllowedDescriptorQualifierPair,http://www.w3.org/2000/01/rdf-schema#label
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#CheckTag,http://id.nlm.nih.gov/mesh/vocab#active
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#CheckTag,http://id.nlm.nih.gov/mesh/vocab#annotation
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#CheckTag,http://id.nlm.nih.gov/mesh/vocab#dateCreated
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#CheckTag,http://id.nlm.nih.gov/mesh/vocab#dateEstablished
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#CheckTag,http://id.nlm.nih.gov/mesh/vocab#dateRevised
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#CheckTag,http://id.nlm.nih.gov/mesh/vocab#historyNote
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#CheckTag,http://id.nlm.nih.gov/mesh/vocab#identifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#CheckTag,http://id.nlm.nih.gov/mesh/vocab#preferredConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#CheckTag,http://id.nlm.nih.gov/mesh/vocab#preferredTerm
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#CheckTag,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#CheckTag,http://www.w3.org/2000/01/rdf-schema#label
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept,http://id.nlm.nih.gov/mesh/vocab#Concept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept,http://id.nlm.nih.gov/mesh/vocab#active
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept,http://id.nlm.nih.gov/mesh/vocab#broaderConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept,http://id.nlm.nih.gov/mesh/vocab#casn1_label
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept,http://id.nlm.nih.gov/mesh/vocab#identifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept,http://id.nlm.nih.gov/mesh/vocab#lastActiveYear
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept,http://id.nlm.nih.gov/mesh/vocab#narrowerConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept,http://id.nlm.nih.gov/mesh/vocab#preferredTerm
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept,http://id.nlm.nih.gov/mesh/vocab#registryNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept,http://id.nlm.nih.gov/mesh/vocab#relatedConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept,http://id.nlm.nih.gov/mesh/vocab#relatedRegistryNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept,http://id.nlm.nih.gov/mesh/vocab#scopeNote
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept,http://id.nlm.nih.gov/mesh/vocab#term
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept,http://www.w3.org/2000/01/rdf-schema#label
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#DisallowedDescriptorQualifierPair,http://id.nlm.nih.gov/mesh/vocab#active
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#DisallowedDescriptorQualifierPair,http://id.nlm.nih.gov/mesh/vocab#hasDescriptor
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#DisallowedDescriptorQualifierPair,http://id.nlm.nih.gov/mesh/vocab#hasQualifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#DisallowedDescriptorQualifierPair,http://id.nlm.nih.gov/mesh/vocab#lastActiveYear
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#DisallowedDescriptorQualifierPair,http://id.nlm.nih.gov/mesh/vocab#useInstead
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#DisallowedDescriptorQualifierPair,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#DisallowedDescriptorQualifierPair,http://www.w3.org/2000/01/rdf-schema#label
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#active
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#allowableQualifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#annotation
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#broaderDescriptor
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#concept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#dateCreated
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#dateEstablished
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#dateRevised
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#historyNote
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#identifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#onlineNote
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#preferredConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#preferredTerm
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#previousIndexing
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#treeNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,http://www.w3.org/2000/01/rdf-schema#label
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://id.nlm.nih.gov/mesh/vocab#active
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://id.nlm.nih.gov/mesh/vocab#annotation
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://id.nlm.nih.gov/mesh/vocab#broaderDescriptor
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://id.nlm.nih.gov/mesh/vocab#concept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://id.nlm.nih.gov/mesh/vocab#dateCreated
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://id.nlm.nih.gov/mesh/vocab#dateEstablished
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://id.nlm.nih.gov/mesh/vocab#dateRevised
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://id.nlm.nih.gov/mesh/vocab#historyNote
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://id.nlm.nih.gov/mesh/vocab#identifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://id.nlm.nih.gov/mesh/vocab#nlmClassificationNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://id.nlm.nih.gov/mesh/vocab#preferredConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://id.nlm.nih.gov/mesh/vocab#preferredTerm
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://id.nlm.nih.gov/mesh/vocab#previousIndexing
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://id.nlm.nih.gov/mesh/vocab#seeAlso
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://id.nlm.nih.gov/mesh/vocab#treeNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#PublicationType,http://www.w3.org/2000/01/rdf-schema#label
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://id.nlm.nih.gov/mesh/vocab#active
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://id.nlm.nih.gov/mesh/vocab#annotation
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://id.nlm.nih.gov/mesh/vocab#broaderQualifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://id.nlm.nih.gov/mesh/vocab#concept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://id.nlm.nih.gov/mesh/vocab#dateCreated
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://id.nlm.nih.gov/mesh/vocab#dateEstablished
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://id.nlm.nih.gov/mesh/vocab#dateRevised
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://id.nlm.nih.gov/mesh/vocab#historyNote
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://id.nlm.nih.gov/mesh/vocab#identifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://id.nlm.nih.gov/mesh/vocab#lastActiveYear
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://id.nlm.nih.gov/mesh/vocab#onlineNote
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://id.nlm.nih.gov/mesh/vocab#preferredConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://id.nlm.nih.gov/mesh/vocab#preferredTerm
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://id.nlm.nih.gov/mesh/vocab#treeNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Qualifier,http://www.w3.org/2000/01/rdf-schema#label
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,http://id.nlm.nih.gov/mesh/vocab#active
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,http://id.nlm.nih.gov/mesh/vocab#concept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,http://id.nlm.nih.gov/mesh/vocab#dateCreated
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,http://id.nlm.nih.gov/mesh/vocab#dateRevised
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,http://id.nlm.nih.gov/mesh/vocab#identifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,http://id.nlm.nih.gov/mesh/vocab#indexerConsiderAlso
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,http://id.nlm.nih.gov/mesh/vocab#lastActiveYear
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,http://id.nlm.nih.gov/mesh/vocab#note
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,http://id.nlm.nih.gov/mesh/vocab#preferredConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,http://id.nlm.nih.gov/mesh/vocab#preferredMappedTo
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,http://id.nlm.nih.gov/mesh/vocab#preferredTerm
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,http://www.w3.org/2000/01/rdf-schema#label
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#active
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#concept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#dateCreated
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#dateRevised
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#frequency
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#identifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#indexerConsiderAlso
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#lastActiveYear
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#mappedTo
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#note
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#pharmacologicalAction
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#preferredConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#preferredMappedTo
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#preferredTerm
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#previousIndexing
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#source
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,http://www.w3.org/2000/01/rdf-schema#label
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#active
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#concept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#dateCreated
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#dateRevised
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#frequency
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#identifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#indexerConsiderAlso
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#lastActiveYear
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#mappedTo
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#note
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#preferredConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#preferredMappedTo
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#preferredTerm
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#previousIndexing
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#source
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,http://www.w3.org/2000/01/rdf-schema#label
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#active
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#concept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#dateCreated
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#dateRevised
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#frequency
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#identifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#indexerConsiderAlso
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#lastActiveYear
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#mappedTo
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#note
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#preferredConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#preferredMappedTo
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#preferredTerm
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#previousIndexing
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#source
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,http://www.w3.org/2000/01/rdf-schema#label
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Population,http://id.nlm.nih.gov/mesh/vocab#active
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Population,http://id.nlm.nih.gov/mesh/vocab#concept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Population,http://id.nlm.nih.gov/mesh/vocab#dateCreated
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Population,http://id.nlm.nih.gov/mesh/vocab#dateRevised
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Population,http://id.nlm.nih.gov/mesh/vocab#frequency
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Population,http://id.nlm.nih.gov/mesh/vocab#identifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Population,http://id.nlm.nih.gov/mesh/vocab#mappedTo
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Population,http://id.nlm.nih.gov/mesh/vocab#preferredConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#SCR_Population,http://id.nlm.nih.gov/mesh/vocab#preferredMappedTo
