graph,predicate
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#Concept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#abbreviation
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#active
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#allowableQualifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#altLabel
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#annotation
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#broaderConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#broaderDescriptor
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#broaderQualifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#casn1_label
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#concept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#considerAlso
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#dateCreated
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#dateEstablished
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#dateRevised
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#entryVersion
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#frequency
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#hasDescriptor
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#hasQualifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#historyNote
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#identifier
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#indexerConsiderAlso
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#lastActiveYear
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#lexicalTag
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#mappedTo
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#narrowerConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#nlmClassificationNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#note
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#onlineNote
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#parentTreeNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#pharmacologicalAction
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#prefLabel
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#preferredConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#preferredMappedTo
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#preferredTerm
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#previousIndexing
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#publicMeSHNote
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#registryNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#relatedConcept
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#relatedRegistryNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#scopeNote
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#seeAlso
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#sortVersion
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#source
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#term
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#thesaurusID
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#treeNumber
http://id.nlm.nih.gov/mesh/,http://id.nlm.nih.gov/mesh/vocab#useInstead
http://id.nlm.nih.gov/mesh/,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://id.nlm.nih.gov/mesh/,http://www.w3.org/2000/01/rdf-schema#label
https://purl.humanatlas.io/graph/ccf,http://ccf_tools_helpers/class_helper.owl#IN_OBO
https://purl.humanatlas.io/graph/ccf,http://data.bioontology.org/metadata/prefixIRI
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/chromosomal_location
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/gene_group
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/gene_group_id
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/locus_group
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/locus_type
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/prev_symbol
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/status
https://purl.humanatlas.io/graph/ccf,http://purl.bioontology.org/ontology/HGNC/symbol
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000028
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000111
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000112
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000114
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000115
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000116
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000117
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000118
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000119
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000232
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000233
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000424
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0000425
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/IAO_0100001
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/NCIT_P106
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/NCIT_P108
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/OMO_0002000
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/PCL_0010058
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0001900
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0002161
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0002171
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0002174
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0002175
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0002604
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0004050
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/RO_0040042
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000001
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000002
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000003
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000004
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000005
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000006
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000007
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000008
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000009
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000010
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000011
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000012
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000013
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000014
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000015
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000100
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000101
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000104
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000105
https://purl.humanatlas.io/graph/ccf,http://purl.obolibrary.org/obo/UBPROP_0000106
